"year","ann_mean","ann_av_dur","ann_dur","ann_mod","ann_str","ann_ex","ann_sev","ann_winter","ann_spring","ann_summer","ann_fall","ann_winter_spring","ann_spring_summer","ann_summer_fall","ann_fall_winter","ann_winter_summer","ann_spring_fall","ann_summer_winter","ann_fall_spring","ann_year_round"
2089,9.1572,7,7,0,29,0,71,1,0,0,0,0,0,0,0,0,0,0,0,0
2090,7.9586,9,9,0,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2091,6.7625,13,13,8,92,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2092,7.4421,25,25,16,84,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2093,8.7115,55,55,0,65,2,33,1,0,0,0,0,0,0,0,0,0,0,0,0
2094,7.4122,13,13,8,92,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2095,8.3889,26,52,15,106,0,79,2,0,0,0,0,0,0,0,0,0,0,0,0
2096,7.6929,27,27,4,93,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
2097,8.44095,34.5,69,2,147,40,11,2,0,0,0,0,0,0,0,0,0,0,0,0
2098,7.19005,19.5,39,15,176,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0
2099,6.1654,18,18,39,61,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
